Date,close,high,low,open,volume
2013-11-01,513.52,518.00,512.55,515.90,1283938
2013-10-31,515.29,520.76,511.99,514.10,1640035
2013-10-30,515.21,518.76,513.00,518.72,1327100
2013-10-29,518.12,518.47,506.75,509.55,1608296
2013-10-28,507.50,511.72,506.49,507.60,1166400
2013-10-25,507.60,514.41,505.37,514.41,2030838
2013-10-24,512.78,520.28,512.40,515.93,2093154
2013-10-23,515.70,517.37,500.32,500.50,2667586
2013-10-22,503.50,506.50,497.90,502.50,2211479
2013-10-21,501.65,509.50,499.78,505.73,3633166
2013-10-18,505.70,507.73,487.00,488.23,11584258
2013-10-17,444.40,448.45,442.86,446.50,4256622
2013-10-16,449.01,449.17,442.01,442.98,2011786
2013-10-15,441.01,442.82,437.00,437.88,1594777
2013-10-14,438.06,438.13,432.70,433.39,1243673
2013-10-11,436.00,436.74,432.65,433.02,1408912
2013-10-10,434.12,434.42,430.11,431.92,2258931
2013-10-09,427.93,431.33,421.49,428.14,2653118
2013-10-08,426.83,432.99,425.82,432.66,1945418
2013-10-07,432.87,437.00,432.06,433.73,1294017
2013-10-04,436.17,438.75,435.00,438.00,1358454
2013-10-03,438.05,447.05,436.05,444.00,2119212
2013-10-02,444.00,444.68,438.91,441.36,1496334
2013-10-01,443.50,443.83,440.03,440.13,1685208
2013-09-30,437.95,440.42,434.16,435.00,1723763
2013-09-27,438.20,438.76,435.66,437.41,1258822
2013-09-26,439.08,441.38,437.50,439.15,1260307
2013-09-25,438.61,443.28,437.80,443.28,1654113
2013-09-24,443.42,445.05,440.70,443.25,1486783
2013-09-23,443.25,450.80,442.60,448.08,1778378
2013-09-20,451.56,452.07,447.81,449.20,4348349
2013-09-19,449.20,453.00,447.70,453.00,1598201
2013-09-18,451.66,451.98,441.54,443.17,1937266
2013-09-17,443.06,444.20,440.50,443.70,1260257
2013-09-16,443.88,448.50,442.44,448.10,1341311
2013-09-13,444.53,447.84,442.42,447.25,1326886
2013-09-12,446.53,448.95,445.01,448.70,1095465
2013-09-11,448.10,448.48,443.04,444.27,1610677
2013-09-10,444.33,446.00,442.00,445.01,1287836
2013-09-09,444.03,444.88,441.21,441.86,1235064
2013-09-06,439.79,441.89,436.87,441.22,1561755
2013-09-05,439.78,439.94,435.81,436.75,1292601
2013-09-04,435.82,436.75,427.58,430.17,2041640
2013-09-03,430.19,433.10,426.98,427.03,2047736
2013-08-30,423.45,429.02,422.78,427.88,1861554
2013-08-29,427.72,430.19,424.30,424.54,1478494
2013-08-28,424.28,427.70,423.89,425.13,1330324
2013-08-27,425.08,431.86,423.95,429.38,1734031
2013-08-26,433.20,437.45,433.03,435.00,1056184
2013-08-23,435.11,439.00,434.88,438.92,1077093
2013-08-22,436.86,437.38,435.13,436.13,870491
2013-08-21,434.67,438.45,433.25,435.64,1761596
2013-08-20,432.71,436.06,431.77,434.50,1236259
2013-08-19,432.83,436.00,428.73,428.86,1811425
2013-08-16,428.45,431.22,428.27,430.64,1675387
2013-08-15,429.83,432.46,429.00,432.22,1870812
2013-08-14,434.91,440.11,433.58,439.19,2083229
2013-08-13,440.63,444.25,438.10,443.42,1420462
2013-08-12,442.76,443.50,440.83,443.25,1377354
2013-08-09,445.20,447.76,445.00,445.28,1323761
2013-08-08,446.33,447.92,442.65,447.75,1488045
2013-08-07,445.33,449.23,444.55,447.52,1380382
2013-08-06,448.29,454.85,447.86,452.35,1506475
2013-08-05,452.50,452.76,449.60,452.70,1309921
2013-08-02,453.29,453.50,450.41,451.72,1717765
2013-08-01,452.11,452.28,447.50,447.50,2138314
2013-07-31,443.88,448.25,443.09,446.50,2173446
2013-07-30,445.46,447.81,440.44,442.53,1756116
2013-07-29,441.14,447.41,440.45,442.45,1893042
2013-07-26,442.67,445.00,441.00,443.50,1778244
2013-07-25,443.85,448.42,443.04,446.94,3005227
2013-07-24,451.45,455.15,450.35,453.63,2080778
2013-07-23,451.90,456.50,449.79,455.35,2046745
2013-07-22,455.35,456.33,448.50,451.18,2904179
2013-07-19,448.30,451.48,437.81,443.31,7363398
2013-07-18,455.34,460.00,451.60,459.50,3634430
2013-07-17,459.28,463.43,458.15,460.50,1506168
2013-07-16,459.80,463.98,456.95,463.57,1983527
2013-07-15,462.35,464.00,458.18,462.15,1961361
2013-07-12,461.50,461.50,457.62,460.00,2568942
2013-07-11,460.12,460.41,454.26,456.50,2587845
2013-07-10,453.00,455.57,450.19,452.51,1715973
2013-07-09,452.62,456.48,448.99,455.63,1979338
2013-07-08,452.55,453.14,448.54,449.31,1970157
2013-07-05,446.75,447.70,443.67,445.13,1701830
2013-07-03,443.22,444.58,439.25,439.95,1048628
2013-07-02,441.16,445.50,438.64,445.10,1891812
2013-07-01,443.94,446.04,442.50,443.23,1726780
2013-06-28,440.19,440.92,437.10,437.45,2350049
2013-06-27,438.54,442.35,438.33,439.40,1926554
2013-06-26,436.83,439.00,435.29,436.70,1832735
2013-06-25,433.10,439.84,432.26,438.63,2553889
2013-06-24,434.89,438.16,431.63,436.64,3020242
2013-06-21,440.47,444.94,436.54,444.94,3982354
2013-06-20,442.37,450.50,441.66,447.00,3377578
2013-06-19,450.34,455.42,448.75,450.65,2917112
2013-06-18,450.31,450.50,444.17,444.33,2167878
2013-06-17,443.13,444.72,439.14,439.61,2147298
2013-06-14,437.52,442.35,437.07,440.05,2245176
2013-06-13,438.50,439.83,432.75,434.49,2071259
2013-06-12,435.99,443.00,434.83,442.73,2205049
2013-06-11,439.91,443.50,439.76,442.03,1757693
2013-06-10,445.11,445.50,440.05,441.05,2338184
2013-06-07,439.86,440.00,432.66,435.21,2675269
2013-06-06,432.32,433.17,423.61,432.15,2579605
2013-06-05,429.85,434.73,428.57,431.41,2107041
2013-06-04,429.55,435.30,427.04,433.92,1868745
2013-06-03,433.82,436.98,427.51,436.85,2476996
2013-05-31,435.61,438.50,433.76,434.06,1969857
2013-05-30,435.38,439.45,433.20,434.96,2120987
2013-05-29,434.16,439.00,432.14,437.86,2014246
2013-05-28,440.64,446.07,440.20,441.55,2257714
2013-05-24,436.66,439.41,435.51,437.63,2296760
2013-05-23,441.39,444.98,437.00,438.16,2279347
2013-05-22,444.71,454.66,443.44,451.28,2561294
2013-05-21,453.48,455.83,448.81,454.01,1983385
2013-05-20,454.27,460.30,452.50,452.69,2272942
2013-05-17,454.59,456.74,450.26,455.01,2792663
2013-05-16,451.94,459.99,451.01,459.50,3211738
2013-05-15,457.95,458.19,447.01,447.88,3995319
2013-05-14,443.55,444.35,438.57,438.77,1581296
2013-05-13,438.77,441.23,436.69,439.45,1448730
2013-05-10,440.11,440.27,436.08,437.50,1900717
2013-05-09,435.74,439.83,434.11,435.42,2200758
2013-05-08,436.82,436.94,426.45,428.50,2468403
2013-05-07,428.61,431.93,425.33,431.85,1967986
2013-05-06,430.78,430.92,424.13,424.50,2141834
2013-05-03,422.86,423.40,418.00,418.48,2512661
2013-05-02,414.81,417.28,409.53,410.05,2018546
2013-05-01,410.22,412.36,408.18,411.63,1455634
2013-04-30,412.29,413.82,408.84,409.50,2306836
2013-04-29,409.53,411.35,401.50,401.63,2301967
2013-04-26,400.71,403.87,398.29,403.80,2488237
2013-04-25,404.55,408.23,403.82,408.13,1992301
2013-04-24,406.73,409.00,404.00,404.06,1829151
2013-04-23,403.95,407.75,400.18,400.51,2299900
2013-04-22,400.06,401.98,387.50,400.30,2883407
2013-04-19,399.94,401.72,383.13,384.42,5804316
2013-04-18,382.96,392.90,380.63,392.67,3328777
2013-04-17,391.28,395.42,389.05,393.38,2037355
2013-04-16,396.69,398.00,391.96,393.55,1742374
2013-04-15,390.97,398.50,388.51,392.98,2454767
2013-04-12,395.03,396.05,391.47,396.00,1636829
2013-04-11,395.20,396.55,392.03,396.48,2028766
2013-04-10,395.09,396.17,388.00,391.42,1978862
2013-04-09,388.83,391.88,386.56,387.75,2157928
2013-04-08,387.42,389.78,384.20,389.38,2832718
2013-04-05,391.53,393.50,388.20,393.21,3433994
2013-04-04,397.54,402.88,395.65,402.73,2448102
2013-04-03,403.10,407.10,400.33,406.63,1738753
2013-04-02,406.52,407.42,402.00,402.41,2041713
2013-04-01,400.60,401.13,396.63,397.51,1807580
2013-03-28,397.09,402.69,396.65,402.00,2287712
2013-03-27,401.33,403.50,400.67,403.38,2163295
2013-03-26,406.21,407.00,403.89,406.39,1191912
2013-03-25,404.82,409.61,403.41,406.09,1712684
2013-03-22,405.16,407.62,404.82,407.55,1491678
2013-03-21,405.63,408.46,404.92,405.64,1477590
2013-03-20,407.35,408.76,405.72,408.75,1464122
2013-03-19,405.66,409.63,403.23,405.62,2098176
2013-03-18,403.89,406.38,400.73,402.50,1838552
2013-03-15,407.15,410.15,406.67,408.93,3099791
2013-03-14,410.77,413.50,408.70,413.50,1651111
2013-03-13,412.66,415.35,411.16,413.95,1641413
2013-03-12,413.81,415.95,411.83,415.69,2008979
2013-03-11,417.41,419.85,415.75,416.04,1595678
2013-03-08,415.76,417.46,412.53,417.42,2912283
2013-03-07,416.30,418.31,414.79,417.01,2054238
2013-03-06,415.69,422.00,414.41,421.01,2873998
2013-03-05,419.30,420.07,414.45,414.47,4045034
2013-03-04,410.75,411.42,402.50,402.65,2776185
2013-03-01,403.10,403.57,398.08,398.90,2175425
2013-02-28,400.60,403.50,400.52,400.63,2265874
2013-02-27,399.89,402.38,395.56,397.40,2028515
2013-02-26,395.07,397.97,392.20,397.38,2205059
2013-02-25,395.39,404.20,395.25,400.97,2307008
2013-02-22,399.86,400.63,396.90,399.63,2054050
2013-02-21,397.77,402.73,395.61,399.03,3511036
2013-02-20,396.23,404.48,395.90,402.65,2765029
2013-02-19,403.42,403.50,397.64,398.00,2932924
2013-02-15,396.45,396.63,393.54,393.70,2729917
2013-02-14,393.91,394.37,388.89,389.53,1735219
2013-02-13,391.43,392.67,389.98,390.07,1198170
2013-02-12,390.35,393.95,389.69,390.58,1858945
2013-02-11,391.21,391.50,386.88,389.20,2167656
